lag,aic,bic,hqic,pair
1,1.631751238133105,1.772633507173732,1.6889535928866166,Volatility -> Farmland Prices
2,1.6724124652530479,1.9084957075434543,1.7682593495222179,Volatility -> Farmland Prices
3,1.6783231594939687,2.0106530101447366,1.8132300952113514,Volatility -> Farmland Prices
4,1.7391515981380412,2.168793148664463,1.913540959989719,Volatility -> Farmland Prices
5,1.7563540695322364,2.284392366590823,1.9706552199517366,Volatility -> Farmland Prices
6,1.8009401073263183,2.428480667384025,2.0555895336196253,Volatility -> Farmland Prices
1,2.7518716817790323,2.8927539508196594,2.8090740365325435,Ambiguity -> Farm Loan Volume
2,2.6705419764813,2.9066252187717065,2.76638886075047,Ambiguity -> Farm Loan Volume
3,2.6851320246109016,3.0174618752616698,2.8200389603282847,Ambiguity -> Farm Loan Volume
4,2.6797615926893146,3.1094031432157365,2.854150954540992,Ambiguity -> Farm Loan Volume
5,2.702230472432623,3.23026876949121,2.9165316228521236,Ambiguity -> Farm Loan Volume
6,2.6725029185573552,3.300043478615062,2.9271523448506622,Ambiguity -> Farm Loan Volume
1,2.0736620205124217,2.2145442895530487,2.130864375265933,Uncertainty -> Farmland Prices
2,2.0746890985722772,2.310772340862684,2.1705359828414474,Uncertainty -> Farmland Prices
3,2.090682823679574,2.423012674330342,2.2255897593969567,Uncertainty -> Farmland Prices
4,2.1542990584363784,2.5839406089628,2.328688420288056,Uncertainty -> Farmland Prices
5,2.1418428911313234,2.66988118818991,2.3561440415508237,Uncertainty -> Farmland Prices
6,2.205077346190046,2.8326179062477532,2.4597267724833536,Uncertainty -> Farmland Prices
